PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
00Ivf,8/2p4r/1p3k2/p2Pp1p1/P1P1RpP1/1P3P1r/4R1K1/8 w - - 7 46,e4e5 h3h2 g2f1 h2h1 f1f2 h7h2,1632,74,89,184.0,endgame long mate mateIn3 rookEndgame,https://lichess.org/VX0fLjAC#91,
00J1Y,1q3r2/p5k1/1p2pbpp/2p2p2/2P1N3/2P2PQP/PP3P2/6RK b - - 2 29,f5e4 g3g6 g7h8 g6h6,1188,77,93,757.0,deflection endgame mate mateIn2 short,https://lichess.org/8onUzszE/black#58,
00J1t,r1qr3k/pp3pB1/1np1pb2/8/3P3P/2N2PR1/PP1Q2P1/2KR4 b - - 0 22,f6g7 d2g5 d8g8 g5h5 g7h6 h5h6,1725,73,97,11057.0,exposedKing kingsideAttack long mate mateIn3 middlegame,https://lichess.org/77hjhVfM/black#44,
00J5r,r4rk1/1p4p1/p1p1n1Pp/q3p3/4P3/2N1QP2/PPP5/2KR3R w - - 0 21,h1h6 g7h6 e3h6 a5c7,2111,75,85,98.0,crushing defensiveMove middlegame short,https://lichess.org/1DzEGAx8#41,
00J7i,3r2k1/pQ3ppp/4R1n1/2q5/2P5/2B3P1/P4PBP/6K1 b - - 0 24,f7e6 b7g7,1002,100,69,44.0,endgame master masterVsMaster mate mateIn1 oneMove,https://lichess.org/nBfwpOrE/black#48,
00JFF,4r1k1/ppqb3p/6B1/3pb2Q/8/2P5/PP1B2PP/5RK1 b - - 0 20,h7g6 h5g6 e5g7 f1f7 c7c5 g1h1 c5f8 f7f8,2058,111,88,36.0,crushing middlegame pin veryLong,https://lichess.org/e986oDw6/black#40,
00JO7,5rk1/ppq3pR/4p1r1/3p4/8/2P4Q/PP3RPP/6K1 b - - 0 22,c7c5 h7h8,989,77,89,74.0,endgame mate mateIn1 oneMove,https://lichess.org/Vd3DWn3Y/black#44,
00JQS,5r1k/pb3Qpp/2p5/5p2/3P4/8/PPP2PPP/4R1K1 b - - 0 21,f8f7 e1e8 f7f8 e8f8,580,93,76,625.0,backRankMate endgame mate mateIn2 short,https://lichess.org/jB9KjawU/black#42,
00JS1,2r5/1p2k1pp/4p3/1N3p2/5P2/P2nP3/1R4PP/6K1 w - - 0 24,b2d2 c8c1 d2d1 c1d1,583,102,77,678.0,endgame mate mateIn2 short,https://lichess.org/ROJJOhHY#47,
00JYV,r2q1rk1/p1p1bppp/2pp1nb1/4p3/4P1PN/2NP3P/PPP2PK1/R1BQ1R2 b - - 4 11,f6e4 h4g6 e4c3 g6e7 d8e7 b2c3,1695,75,96,12366.0,advantage kingsideAttack long opening,https://lichess.org/rJrzfvfs/black#22,Ruy_Lopez Ruy_Lopez_Steinitz_Defense
00JZk,7k/1q5p/3Q2p1/8/P3p3/1p2B2P/1br3P1/R5K1 b - - 0 32,b7f7 a1f1 f7f1 g1f1,2203,75,92,1860.0,crushing endgame short,https://lichess.org/YuyVHFxe/black#64,
00JaW,8/r7/Pk5p/3R2p1/4p1P1/4P3/3K4/8 b - - 0 48,a7a6 d5d6 b6a5 d6a6 a5a6 d2c3 a6b7 c3d4,1082,79,88,198.0,crushing endgame exposedKing rookEndgame veryLong,https://lichess.org/K2MPI0zt/black#96,
00JtR,1rbk3r/3qp1b1/p3p1Bp/1N1P2p1/8/P5P1/1P2Q1P1/R3K2R w KQ - 2 23,d5e6 d7b5 e2d2 d8c7 a1c1 c7b7 g6e4 b7a7,2184,75,93,2209.0,crushing defensiveMove middlegame veryLong,https://lichess.org/eQy3tkuB#45,
